"Code","Title","Mode","Check","Status","Evidence","Fix"
"ATTE","Attendance","gateway","gloss_in_voice","warn","Most terms (Arcturus/Meridian, neuretics, Pilsen Veil, ArcSec, calibration print) are woven in through concrete sensory and procedural detail — 'Her neuretics were contractor-grade: district-issue mesh, grown in a public clinic eleven years ago' reads as natural bureaucratic interiority. But several proprietary terms arrive as unglossed proper nouns a newcomer can't place — 'GLMZ', 'AAMA', 'Class-3 site', 'the schism' are used many times before any orienting context is given, and phrases like 'a hazard classification' or 'schism proximity' assume the reader already knows what a schism is in this world.","Give 'the schism' and 'GLMZ' a single early in-voice anchor (e.g., a line where Yemina's own thought defines the schism as the thing that opened wrong in the world, the way she defines neuretics and the seam) so first-time readers aren't left inferring the central phenomenon purely from accumulated context clues."
"ATTE","Attendance","gateway","acronym_after_term","fail","'GLMZ' appears repeatedly (e.g., 'no instrument in the GLMZ is pointed at,' 'every corp contract in the city' vs. 'across the GLMZ') with no in-voice expansion anywhere in the text; 'AAMA' is used freely on first appearance ('the Anomalous Activity Monitoring Authority')—which is properly glossed—but 'GLMZ' never receives the same treatment.","Add an in-voice gloss at GLMZ's first appearance, e.g. 'no instrument in the Great Lakes Metro Zone—the GLMZ, everyone called it—was pointed at that frequency.'"
"BCODA","Bushido Coda","gateway","gloss_in_voice","fail","Terms like 'CorpoNations,' 'GLMZ,' 'neuretics,' 'Splicer,' 'Φ' (currency), 'Praxis,' 'Carrion,' and 'the Ghost Period' are dropped in with zero orientation — e.g. 'the CorpoNation property registry sometime in the 2190s' or 'GLMZ night' assumes the reader already knows what these zones/factions are, and later terms like 'Atlas NeoCortex,' 'the sixty-four,' and 'the aperture' pile up in dense lore-exposition paragraphs that read as pure info-dump rather than in-voice gloss.","Introduce each proprietary term through a concrete sensory or functional detail the first time Kyle's POV encounters it (as was done reasonably well with 'schism' and 'the array'), and cut or redistribute the late-manuscript exposition blocks (e.g. the Atlas NeoCortex/sixty-four splices explanation) into smaller, scene-grounded beats rather than standalone lecture paragraphs."
"BCODA","Bushido Coda","gateway","acronym_after_term","fail","GLMZ appears repeatedly ('the GLMZ night', 'any GLMZ block') with no full-term gloss anywhere in the story, and the acronym E.L.F. is used ('The E.L.F. signal, the one Ledger had picked up') without ever spelling out what it stands for.","Introduce the full term in-voice at first use (e.g., 'the Greater Loop Metro Zone—GLMZ—night' and a comparable gloss for E.L.F.) before allowing the bare acronym to recur."
"BLST","Ballast","gateway","gloss_in_voice","pass","Terms like 'the Hush' (coherence drivers holding the bloc aloft), 'The Low' (no governance line, no Air Tax bracket, salvage waiting for a claimant), 'Air Tax' (a fee on altitude explained in one clause), and 'freeboard' (glossed via the surface-hull analogy 'back when hulls floated on water') are each folded into Teo's working thoughts as she'd actually think them, oriented at first use without stopping the narrative to explain.",
"BLST","Ballast","gateway","acronym_after_term","warn","The story is scrupulous about most in-universe jargon (e.g. 'Air Tax,' 'freeboard,' 'certified salvage' are all glossed), but the currency symbol 'Φ' is used from its very first appearance ('Total offer: Φ847,000') with no explanation of what it stands for or how to read it, and 'NSB'-style acronyms are otherwise avoided entirely, suggesting the rule was followed for true acronyms but the symbol itself was never glossed.","Add a brief in-voice gloss the first time Φ appears, e.g. having Teo mentally note 'Φ — Phos, the city's standard currency mark' before or as she reads the AshgraveMaterials letter."
"CRIT","Critical Mass","gateway","gloss_in_voice","pass","'his neuretics — the neural mesh grown into his substrate —' and 'the neuretic etching at the temples that reads Tier 3 to anyone who knows to look' both gloss the term in a single clause, folded into action beats rather than paused-on exposition; similarly 'Cinderfall Logistics leased that rack space, ran a distributed process across it, and pulled the Fleet's charter when the licensing math stopped adding up' delivers CorpoNation/charter backstory through Ledger's own accounting-brain train of thought rather than a lecture.",
"CRIT","Critical Mass","gateway","acronym_after_term","warn","'GLMZ' appears as a bare acronym on first use ('the kind of gray, unglamorous infrastructure that runs half of GLMZ's cargo without anyone thinking about it once') with no expansion given before or after; similarly 'IP' ('it's thirteen years dark and it's still holding an IP') is never glossed at all.","Add an in-voice expansion before each acronym's first use, e.g. introduce GLMZ as 'the Greater Loop Municipal Zone' and IP as 'an instance pointer' the first time each term appears."
"CxC","Crimson & Chrome","sequel","lighter_regloss","warn","(evaluation failed)",
"CxC","Crimson & Chrome","sequel","acronym_after_term","fail","Multiple acronyms appear with no in-voice expansion ever given: 'GLMZ' (used repeatedly, e.g. 'the vacuum rail that ran GLMZ's spine' and 'GLMZ doesn't stop being what it is'), 'NRST' ('the gray-market balance from the NRST crack'), and 'QUANTA' (used as a bare term throughout, e.g. 'no QUANTA mark' and 'a QUANTA figure that drops') never receive a full-term gloss before or after first use.","Insert an in-voice expansion at each acronym's first appearance, e.g. have a character gloss 'GLMZ' as its full name once before using the bare initials, and similarly expand 'NRST' and 'QUANTA' the first time each appears on the page."
